,Image Names,Number of Cracks,Type D00,Type D01,Type D10,Type D11,Type D20,Type D40,Type D43,Type D44,Average Detection Score,Maximum Detection Score,Minimum Detection Score,Average Crack Region Percentage,Maximum Crack Region Percentage,Minimum Crack Region Percentage,Average Size of Cracks,Maximum Size of Cracks,Minimum Size of Cracks
16,_9QnaZDkXb0nosw5CX3sRQ,3,,,,,,,,3,0.5625,0.68,0.34,0.094553125,0.144925,0.0393125,,,
17,_1SWtG7FCIA7hNKVRUrhBQ,,,,,,,,,,,,,,,,,,
18,_7dHZvKA2CKq4DiV5PT5DA,1,,,,,,,,1,0.5,0.5,0.5,0.151259375,0.151259375,0.151259375,,,
19,49,1,,1,,,,,,,0.66,0.66,0.66,0.041428571428571426,0.041428571428571426,0.041428571428571426,,,
20,_ELLQTaygWyXkGJk78xZng,,,,,,,,,,,,,,,,,,
21,_DzUWHVhcK7DLnLLlIA8Gg,,,,,,,,,,,,,,,,,,
22,__Q57epBr_ZcZvVPYnnIJw,,,,,,,,,,,,,,,,,,
23,_Ar9Hd8d8RCnrM9nmwlRBQ,1,,,,,,,,1,0.86,0.86,0.86,0.0873625,0.0873625,0.0873625,,,
24,_8alj_VYdvfpMX3qXGaMog,2,,,,,,,,2,0.5499999999999999,0.59,0.47,0.05789791666666667,0.08969375,0.042,,,
25,_61PjsCyVPcNIH5lxKsTVA,1,,,,,,,,1,0.48,0.48,0.48,0.22756875,0.22756875,0.22756875,,,
26,_Ct3DjJTVa5Mt0nh3yVhrg,,,,,,,,,,,,,,,,,,
27,_3zDJzxYMHyF_YvcJu_PvQ,1,,,,,,,,1,0.88,0.88,0.88,0.29334375,0.29334375,0.29334375,,,
28,_63Gm-JSLikt_0smmbpDug,,,,,,,,,,,,,,,,,,
29,__rfQz-T-Pb7KJx6jWk8Gg,2,,,,,,,1,1,0.4066666666666667,0.41,0.4,0.10594999999999999,0.22785,0.045,,,
30,_cy3zEfkLCge5UDbsJkOYw,2,,,,,,,1,1,0.7466666666666667,0.81,0.62,0.15316666666666667,0.2765,0.0915,,,
31,_7xHktWQ4rtnSVMXNb68Ng,,,,,,,,,,,,,,,,,,
